task,threads,avg_time,speedup,efficiency,accuracy
Task_3_2_Local_Accumulation,1,0.092138,1.0,100.0,99.9868
Task_3_2_Local_Accumulation,2,0.044502,2.0704,103.52,99.9998
Task_3_2_Local_Accumulation,4,0.024913,3.6984,92.46,99.9852
Task_3_2_Local_Accumulation,8,0.019505,4.7237,59.05,99.9915
Task_3_2_Local_Accumulation,16,0.016953,5.435,33.97,99.9905
Task_3_2_Local_Accumulation,32,0.015853,5.8121,18.16,99.9999
Task_3_3_Shared_Variable_Mutex,1,0.139657,1.0,100.0,99.9868
Task_3_3_Shared_Variable_Mutex,2,0.275679,0.5066,25.33,99.9998
Task_3_3_Shared_Variable_Mutex,4,0.399139,0.3499,8.75,99.9852
Task_3_3_Shared_Variable_Mutex,8,0.526075,0.2655,3.32,99.9915
Task_3_3_Shared_Variable_Mutex,16,0.45375,0.3078,1.92,99.9905
Task_3_3_Shared_Variable_Mutex,32,0.462563,0.3019,0.94,99.9999
